"Team","Year","Conf"
"Arkansas State",2010,"sun-belt"
"Florida Atlantic",2010,"sun-belt"
"Louisiana",2010,"sun-belt"
"North Texas",2010,"sun-belt"
"Western Kentucky",2010,"sun-belt"
"Troy",2009,"sun-belt"
"Middle Tennessee State",2009,"sun-belt"
"Louisiana-Monroe",2009,"sun-belt"
"Florida Atlantic",2009,"sun-belt"
"Louisiana",2009,"sun-belt"
"Arkansas State",2009,"sun-belt"
"Florida International",2009,"sun-belt"
"North Texas",2009,"sun-belt"
"Western Kentucky",2009,"sun-belt"
"Troy",2008,"sun-belt"
"Louisiana",2008,"sun-belt"
"Florida Atlantic",2008,"sun-belt"
"Arkansas State",2008,"sun-belt"
"Florida International",2008,"sun-belt"
"Middle Tennessee State",2008,"sun-belt"
"Louisiana-Monroe",2008,"sun-belt"
"North Texas",2008,"sun-belt"
"Florida Atlantic",2007,"sun-belt"
"Troy",2007,"sun-belt"
"Louisiana-Monroe",2007,"sun-belt"
"Middle Tennessee State",2007,"sun-belt"
"Arkansas State",2007,"sun-belt"
"Louisiana",2007,"sun-belt"
"North Texas",2007,"sun-belt"
"Florida International",2007,"sun-belt"
"Troy",2006,"sun-belt"
"Middle Tennessee State",2006,"sun-belt"
"Arkansas State",2006,"sun-belt"
"Florida Atlantic",2006,"sun-belt"
"Louisiana",2006,"sun-belt"
"Louisiana-Monroe",2006,"sun-belt"
"North Texas",2006,"sun-belt"
"Florida International",2006,"sun-belt"
"Arkansas State",2005,"sun-belt"
"Louisiana",2005,"sun-belt"
"Louisiana-Monroe",2005,"sun-belt"
"Florida International",2005,"sun-belt"
"Middle Tennessee State",2005,"sun-belt"
"Troy",2005,"sun-belt"
"Florida Atlantic",2005,"sun-belt"
"North Texas",2005,"sun-belt"
"North Texas",2004,"sun-belt"
"Troy",2004,"sun-belt"
"New Mexico State",2004,"sun-belt"
"Louisiana-Monroe",2004,"sun-belt"
"Florida Atlantic",2004,"sun-belt"
"Middle Tennessee State",2004,"sun-belt"
"Arkansas State",2004,"sun-belt"
"Louisiana",2004,"sun-belt"
"Idaho",2004,"sun-belt"
"Utah State",2004,"sun-belt"
"Florida International",2004,"sun-belt"
"North Texas",2003,"sun-belt"
"Louisiana",2003,"sun-belt"
"Arkansas State",2003,"sun-belt"
"Middle Tennessee State",2003,"sun-belt"
"Utah State",2003,"sun-belt"
"Idaho",2003,"sun-belt"
"New Mexico State",2003,"sun-belt"
"Louisiana-Monroe",2003,"sun-belt"
"North Texas",2002,"sun-belt"
"New Mexico State",2002,"sun-belt"
"Arkansas State",2002,"sun-belt"
"Middle Tennessee State",2002,"sun-belt"
"Louisiana",2002,"sun-belt"
"Louisiana-Monroe",2002,"sun-belt"
"Idaho",2002,"sun-belt"
"Middle Tennessee State",2001,"sun-belt"
"North Texas",2001,"sun-belt"
"New Mexico State",2001,"sun-belt"
"Louisiana",2001,"sun-belt"
"Arkansas State",2001,"sun-belt"
"Louisiana-Monroe",2001,"sun-belt"
"Idaho",2001,"sun-belt"
"Louisville",2012,"big-east"
"Cincinnati",2012,"big-east"
"Rutgers",2012,"big-east"
"Syracuse",2012,"big-east"
"Pitt",2012,"big-east"
"Connecticut",2012,"big-east"
"Temple",2012,"big-east"
"South Florida",2012,"big-east"
"Cincinnati",2011,"big-east"
"West Virginia",2011,"big-east"
"Louisville",2011,"big-east"
"Rutgers",2011,"big-east"
"Pitt",2011,"big-east"
"Connecticut",2011,"big-east"
"South Florida",2011,"big-east"
"Syracuse",2011,"big-east"
"Connecticut",2010,"big-east"
"Pitt",2010,"big-east"
"West Virginia",2010,"big-east"
"Syracuse",2010,"big-east"
"South Florida",2010,"big-east"
"Louisville",2010,"big-east"
"Cincinnati",2010,"big-east"
"Rutgers",2010,"big-east"
"Cincinnati",2009,"big-east"
"Pitt",2009,"big-east"
"West Virginia",2009,"big-east"
"Connecticut",2009,"big-east"
"Rutgers",2009,"big-east"
"South Florida",2009,"big-east"
"Louisville",2009,"big-east"
"Syracuse",2009,"big-east"
"Cincinnati",2008,"big-east"
"Pitt",2008,"big-east"
"Rutgers",2008,"big-east"
"West Virginia",2008,"big-east"
"Connecticut",2008,"big-east"
"South Florida",2008,"big-east"
"Louisville",2008,"big-east"
"Syracuse",2008,"big-east"
"West Virginia",2007,"big-east"
"Connecticut",2007,"big-east"
"Cincinnati",2007,"big-east"
"South Florida",2007,"big-east"
"Rutgers",2007,"big-east"
"Louisville",2007,"big-east"
"Pitt",2007,"big-east"
"Syracuse",2007,"big-east"
"Louisville",2006,"big-east"
"Rutgers",2006,"big-east"
"West Virginia",2006,"big-east"
"Cincinnati",2006,"big-east"
"South Florida",2006,"big-east"
"Pitt",2006,"big-east"
"Connecticut",2006,"big-east"
"Syracuse",2006,"big-east"
"West Virginia",2005,"big-east"
"Louisville",2005,"big-east"
"Rutgers",2005,"big-east"
"South Florida",2005,"big-east"
"Pitt",2005,"big-east"
"Connecticut",2005,"big-east"
"Cincinnati",2005,"big-east"
"Syracuse",2005,"big-east"
"Boston College",2004,"big-east"
"Pitt",2004,"big-east"
"West Virginia",2004,"big-east"
"Syracuse",2004,"big-east"
"Connecticut",2004,"big-east"
"Rutgers",2004,"big-east"
"Temple",2004,"big-east"
"Miami (FL)",2003,"big-east"
"West Virginia",2003,"big-east"
"Pitt",2003,"big-east"
"Virginia Tech",2003,"big-east"
"Boston College",2003,"big-east"
"Syracuse",2003,"big-east"
"Rutgers",2003,"big-east"
"Temple",2003,"big-east"
"Miami (FL)",2002,"big-east"
"West Virginia",2002,"big-east"
"Pitt",2002,"big-east"
"Virginia Tech",2002,"big-east"
"Boston College",2002,"big-east"
"Syracuse",2002,"big-east"
"Temple",2002,"big-east"
"Rutgers",2002,"big-east"
"Miami (FL)",2001,"big-east"
"Syracuse",2001,"big-east"
"Boston College",2001,"big-east"
"Virginia Tech",2001,"big-east"
"Pitt",2001,"big-east"
"Temple",2001,"big-east"
"West Virginia",2001,"big-east"
"Rutgers",2001,"big-east"
"Utah State",2012,"wac"
"San Jose State",2012,"wac"
"Louisiana Tech",2012,"wac"
"UTSA",2012,"wac"
"Texas State",2012,"wac"
"Idaho",2012,"wac"
"New Mexico State",2012,"wac"
"Louisiana Tech",2011,"wac"
"Nevada",2011,"wac"
"Utah State",2011,"wac"
"Hawaii",2011,"wac"
"San Jose State",2011,"wac"
"Fresno State",2011,"wac"
"New Mexico State",2011,"wac"
"Idaho",2011,"wac"
"Boise State",2010,"wac"
"Nevada",2010,"wac"
"Hawaii",2010,"wac"
"Fresno State",2010,"wac"
"Louisiana Tech",2010,"wac"
"Idaho",2010,"wac"
"Utah State",2010,"wac"
"New Mexico State",2010,"wac"
"San Jose State",2010,"wac"
"Boise State",2009,"wac"
"Nevada",2009,"wac"
"Fresno State",2009,"wac"
"Idaho",2009,"wac"
"Hawaii",2009,"wac"
"Louisiana Tech",2009,"wac"
"Utah State",2009,"wac"
"New Mexico State",2009,"wac"
"San Jose State",2009,"wac"
"Boise State",2008,"wac"
"Louisiana Tech",2008,"wac"
"Hawaii",2008,"wac"
"Nevada",2008,"wac"
"Fresno State",2008,"wac"
"San Jose State",2008,"wac"
"Utah State",2008,"wac"
"New Mexico State",2008,"wac"
"Idaho",2008,"wac"
"Hawaii",2007,"wac"
"Boise State",2007,"wac"
"Fresno State",2007,"wac"
"Louisiana Tech",2007,"wac"
"Nevada",2007,"wac"
"San Jose State",2007,"wac"
"Utah State",2007,"wac"
"New Mexico State",2007,"wac"
"Idaho",2007,"wac"
"Boise State",2006,"wac"
"Hawaii",2006,"wac"
"Nevada",2006,"wac"
"San Jose State",2006,"wac"
"Fresno State",2006,"wac"
"Idaho",2006,"wac"
"New Mexico State",2006,"wac"
"Louisiana Tech",2006,"wac"
"Utah State",2006,"wac"
"Nevada",2005,"wac"
"Boise State",2005,"wac"
"Fresno State",2005,"wac"
"Louisiana Tech",2005,"wac"
"Hawaii",2005,"wac"
"San Jose State",2005,"wac"
"Utah State",2005,"wac"
"Idaho",2005,"wac"
"New Mexico State",2005,"wac"
"Boise State",2004,"wac"
"UTEP",2004,"wac"
"Fresno State",2004,"wac"
"Louisiana Tech",2004,"wac"
"Hawaii",2004,"wac"
"Nevada",2004,"wac"
"Tulsa",2004,"wac"
"SMU",2004,"wac"
"Rice",2004,"wac"
"San Jose State",2004,"wac"
"Boise State",2003,"wac"
"Fresno State",2003,"wac"
"Tulsa",2003,"wac"
"Hawaii",2003,"wac"
"Rice",2003,"wac"
"Nevada",2003,"wac"
"Louisiana Tech",2003,"wac"
"San Jose State",2003,"wac"
"UTEP",2003,"wac"
"SMU",2003,"wac"
"Boise State",2002,"wac"
"Hawaii",2002,"wac"
"Fresno State",2002,"wac"
"Nevada",2002,"wac"
"San Jose State",2002,"wac"
"Louisiana Tech",2002,"wac"
"Rice",2002,"wac"
"SMU",2002,"wac"
"UTEP",2002,"wac"
"Tulsa",2002,"wac"
"Louisiana Tech",2001,"wac"
"Fresno State",2001,"wac"
"Boise State",2001,"wac"
"Hawaii",2001,"wac"
"Rice",2001,"wac"
"SMU",2001,"wac"
"Nevada",2001,"wac"
"San Jose State",2001,"wac"
"UTEP",2001,"wac"
"Tulsa",2001,"wac"
